ASV_ID	Kingdom	Phylum	Class	Order	Family	Genus	A3.1.day157_1	A3.1.day98_1	A3.2.day157_1	A3.2.day98_1	E3.1.day157	E3.1.day98	E3.2.day157	E3.2.day98
sq1560	Bacteria	Desulfobacterota	Desulfobulbia	Desulfobulbales	Desulfocapsaceae	NA	12	6	8	0	0	0	0	2
sq1561	Bacteria	Planctomycetota	UBA1135	UBA1135	GCA-002686595	DUCM01	0	0	0	0	0	0	0	0
sq1562	Bacteria	NA	NA	NA	NA	NA	2	0	0	0	0	0	0	0
sq1563	Bacteria	Planctomycetota	Brocadiia	CAIUPP01	CAIUPP01	CAIUPP01	5	2	4	3	1	0	0	1
sq1564	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Ilumatobacteraceae	NA	0	0	0	0	0	0	0	0
sq1565	Bacteria	Bacillota	Bacilli	Haloplasmatales	Turicibacteraceae	Turicibacter	0	0	4	0	0	0	0	0
sq1566	Bacteria	Chloroflexota	Dehalococcoidia	NA	NA	NA	4	1	5	0	0	0	0	0
sq1567	Bacteria	Planctomycetota	Phycisphaerae	SM23-33	SM23-33	NA	0	4	1	0	0	0	0	0
sq1568	Bacteria	Bacillota	Bacilli	Izemoplasmatales	Izemoplasmataceae	Xianfuyuplasma	1	0	0	0	0	0	0	0
sq1569	Bacteria	Planctomycetota	Phycisphaerae	NA	NA	NA	11	0	1	0	2	0	0	0
sq1570	Bacteria	NA	NA	NA	NA	NA	2	0	0	3	0	2	0	0
sq1571	Bacteria	Chloroflexota	Anaerolineae	NA	NA	NA	4	0	1	0	0	0	0	2
sq1572	Bacteria	Planctomycetota	Phycisphaerae	SM23-33	SM23-33	NA	0	0	0	0	0	0	0	0
sq1573	Bacteria	Chloroflexota	Anaerolineae	B4-G1	NA	NA	2	0	1	0	0	0	0	4
sq1574	Bacteria	Dependentiae	Babeliae	Babeliales	JAHIUU01	JAHIUU01	2	0	0	0	0	4	0	0
sq1575	Bacteria	Planctomycetota	Phycisphaerae	Sedimentisphaerales	SG8-4	NA	0	0	0	0	0	10	0	2
sq1576	Bacteria	NA	NA	NA	NA	NA	6	3	0	0	0	2	0	0
sq1577	Bacteria	Planctomycetota	Phycisphaerae	Sedimentisphaerales	SG8-4	NA	0	1	0	7	0	0	0	0
sq1578	Bacteria	Omnitrophota	Koll11	UBA1560	Aquitaenariimonadaceae	Aquitaenariimonas	3	0	0	4	0	0	0	0
sq1579	Bacteria	NA	NA	NA	NA	NA	0	0	2	3	0	0	0	0
