ASV_ID	Kingdom	Phylum	Class	Order	Family	Genus	A3.1.day157_1	A3.1.day98_1	A3.2.day157_1	A3.2.day98_1	E3.1.day157	E3.1.day98	E3.2.day157	E3.2.day98
sq241	Archaea	Thermoproteota	NA	NA	NA	NA	5	0	18	1	1	1	0	2
sq242	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	NA	14	0	9	1	0	0	0	0
sq243	Archaea	Thermoplasmatota	E2	DHVEG-1	DHVEG-1	NA	2	24	0	18	0	1	1	8
sq244	Archaea	Thermoproteota	Bathyarchaeia	TCS64	TCS64	RBG-16-57-9	10	0	4	6	0	3	0	1
sq245	Archaea	Thermoproteota	Bathyarchaeia	B26-1	NA	NA	22	0	6	12	1	0	0	0
sq246	Archaea	Thermoplasmatota	JAEHCK01	JAEHCK01	JAEHCK01	JAEHCK01	18	11	1	48	4	17	0	3
sq247	Archaea	NA	NA	NA	NA	NA	10	25	5	9	1	1	0	0
sq248	Archaea	Asgardarchaeota	Lokiarchaeia	CR-4	SOKP01	NA	14	12	9	10	2	4	1	1
sq249	Archaea	NA	NA	NA	NA	NA	2	0	0	8	0	1	0	0
sq250	Archaea	Thermoproteota	Bathyarchaeia	B26-1	BA1	SOJZ01	28	22	9	9	0	2	0	0
sq251	Archaea	Thermoplasmatota	Themoplasmata_A	DTKX01	GCA-020343715	GCA-020343715	8	27	14	22	0	4	0	0
sq252	Archaea	Thermoplasmatota	E2	DHVEG-1	DHVEG-1	SG8-52-3	30	55	20	48	1	1	0	13
sq253	Archaea	NA	NA	NA	NA	NA	25	80	21	32	0	1	0	0
sq254	Archaea	Asgardarchaeota	Lokiarchaeia	CR-4	SOKP01	SOKP01	31	0	21	19	3	2	0	0
sq255	Archaea	Thermoplasmatota	E2	DHVEG-1	DHVEG-1	NA	16	25	18	51	1	12	0	5
sq256	Archaea	Thermoproteota	Bathyarchaeia	B26-1	UBA233	NA	23	0	27	13	3	1	0	0
sq257	Archaea	Thermoplasmatota	E2	DHVEG-1	DHVEG-1	NA	11	36	5	27	0	12	0	0
sq258	Archaea	Aenigmatarchaeota	Aenigmatarchaeia	QMZP01	JAFGSV01	JAFGFG01	16	0	8	8	0	0	0	1
